,bpref,bpref10,indAP
RESNET,0.8675,0.9337499999999999,0.7939920634920636
EFFICIENTNET,0.9265000000000001,0.96325,0.8822559523809523
COLOR,0.767,0.8835,0.6104226190476191
SHAPE,0.7585,0.8792500000000001,0.5896091269841269
